idx,batch_idx,sample_idx,step,rmse,nmse
19,2,3,6,0.048962920904159546,0.0005410923040471971
19,2,3,7,0.0526617169380188,0.0006257509812712669
19,2,3,8,0.05613837018609047,0.0007109581492841244
19,2,3,9,0.05964666232466698,0.0008025075658224523
19,2,3,10,0.06310280412435532,0.0008981817518360913
19,2,3,11,0.06649912893772125,0.0009975261054933071
19,2,3,12,0.06982733309268951,0.001100023160688579
19,2,3,13,0.07307842373847961,0.001205085078254342
19,2,3,14,0.07629161328077316,0.0013137307250872254
19,2,3,15,0.07950185984373093,0.0014270475367084146
19,2,3,16,0.0827651396393776,0.0015471039805561304
19,2,3,17,0.08611071109771729,0.0016752585070207715
19,2,3,18,0.08951861411333084,0.0018110617529600859
19,2,3,19,0.0929446667432785,0.0019529220880940557
19,2,3,20,0.09634524583816528,0.0020989831537008286
19,2,3,21,0.09971313923597336,0.002248741453513503
19,2,3,22,0.10308966785669327,0.002403901657089591
19,2,3,23,0.10652609169483185,0.002566907787695527
19,2,3,24,0.11004634201526642,0.0027391870971769094
20,2,4,0,0.023378657177090645,0.00012360792607069016
20,2,4,1,0.024636555463075638,0.00013723837037105113
20,2,4,2,0.0324416421353817,0.0002379083598498255
20,2,4,3,0.038063786923885345,0.00032742024632170796
20,2,4,4,0.042831506580114365,0.00041446113027632236
20,2,4,5,0.047330863773822784,0.0005059745744802058
20,2,4,6,0.0510970838367939,0.000589562114328146
20,2,4,7,0.05469923093914986,0.0006754861096851528
20,2,4,8,0.057950522750616074,0.0007580631645396352
20,2,4,9,0.06106735020875931,0.0008417122298851609
20,2,4,10,0.06412924826145172,0.0009281699312850833
20,2,4,11,0.06726660579442978,0.0010211655171588063
20,2,4,12,0.0706033706665039,0.0011249673552811146
20,2,4,13,0.07416616380214691,0.0012413689401000738
20,2,4,14,0.07795017957687378,0.0013712906511500478
20,2,4,15,0.08186310529708862,0.0015124473720788956
